# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 3.162e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.236e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.311e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.388e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.467e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.548e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.631e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.715e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.802e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.890e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.981e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.074e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.169e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.266e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.365e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.467e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.571e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.677e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.786e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.898e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.012e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.129e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.248e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.370e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.495e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.623e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.754e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.888e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.026e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.166e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.310e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.457e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.607e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.761e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.918e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 7.079e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 7.244e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 7.413e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 7.586e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 7.762e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 7.943e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 8.128e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 8.318e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 8.511e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 8.710e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 8.913e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 9.120e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 9.333e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 9.550e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 9.772e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 1.000e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.023e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.047e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.072e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.096e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.122e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.148e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.175e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.202e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.230e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.259e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.288e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.318e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.349e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.380e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.413e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.445e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.479e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.514e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.549e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.585e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.622e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.660e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.698e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.738e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.778e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.820e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.862e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.905e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.950e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 1.995e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.042e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.089e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.138e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.188e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.239e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.291e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.344e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.399e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.455e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.512e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.570e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.630e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.692e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.754e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.818e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.884e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 2.951e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.020e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.090e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.162e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.236e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.311e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.388e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.467e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.548e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.631e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.715e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.802e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.890e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 3.981e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.074e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.169e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.266e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.365e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.467e+04      0.000      0.000   0.00e+00   0.00e+00              b''
 4.571e+04      0.000      0.000   0.00e+00   0.00e+00              b''
