# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 3.162e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.236e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.311e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.388e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.467e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.548e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.631e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.715e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.802e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.890e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.981e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.074e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.169e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.266e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.365e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.467e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.571e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.677e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.786e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.898e+03      1.000      1.000  -8.48e-03   5.00e-08  b'Ra4.898e+03_'
 5.012e+03      1.000      1.006  -4.74e-03   4.86e-03  b'Ra5.012e+03_'
 5.129e+03      1.011      1.012  -5.84e-03   1.52e-08  b'Ra5.129e+03_'
 5.248e+03      1.030      1.034  -2.39e-02   1.29e-08  b'Ra5.248e+03_'
 5.370e+03      1.049      1.055  -4.31e-02   1.78e-08  b'Ra5.370e+03_'
 5.495e+03      1.068      1.075  -6.38e-02   8.51e-08  b'Ra5.495e+03_'
 5.623e+03      1.087      1.096  -8.65e-02   1.62e-08  b'Ra5.623e+03_'
 5.754e+03      1.105      1.115  -1.12e-01   1.11e-07  b'Ra5.754e+03_'
 5.888e+03      1.123      1.135  -1.19e-01   2.65e-08  b'Ra5.888e+03_'
 6.026e+03      1.141      1.154  -1.18e-01   5.83e-09  b'Ra6.026e+03_'
 6.166e+03      1.158      1.173  -1.16e-01   4.25e-09  b'Ra6.166e+03_'
 6.310e+03      1.175      1.192  -1.14e-01   4.79e-09  b'Ra6.310e+03_'
 6.457e+03      1.192      1.210  -1.13e-01   3.65e-09  b'Ra6.457e+03_'
 6.607e+03      1.209      1.228  -1.11e-01   9.96e-09  b'Ra6.607e+03_'
 6.761e+03      1.225      1.245  -1.10e-01   4.19e-09  b'Ra6.761e+03_'
 6.918e+03      1.241      1.262  -1.08e-01   3.94e-09  b'Ra6.918e+03_'
 7.079e+03      1.257      1.279  -1.07e-01   7.48e-09  b'Ra7.079e+03_'
 7.244e+03      1.273      1.296  -1.05e-01   4.29e-09  b'Ra7.244e+03_'
 7.413e+03      1.288      1.312  -1.04e-01   1.80e-08  b'Ra7.413e+03_'
 7.586e+03      1.304      1.328  -1.02e-01   7.47e-09  b'Ra7.586e+03_'
 7.762e+03      1.319      1.344  -1.01e-01   8.87e-09  b'Ra7.762e+03_'
 7.943e+03      1.333      1.360  -9.95e-02   5.13e-09  b'Ra7.943e+03_'
 8.128e+03      1.348      1.375  -9.81e-02   5.32e-09  b'Ra8.128e+03_'
 8.318e+03      1.363      1.391  -9.67e-02   6.83e-09  b'Ra8.318e+03_'
 8.511e+03      1.377      1.405  -9.54e-02   4.91e-09  b'Ra8.511e+03_'
 8.710e+03      1.391      1.420  -9.40e-02   4.61e-09  b'Ra8.710e+03_'
 8.913e+03      1.405      1.435  -9.27e-02   3.57e-09  b'Ra8.913e+03_'
 9.120e+03      1.419      1.449  -9.14e-02   6.12e-09  b'Ra9.120e+03_'
 9.333e+03      1.432      1.463  -9.01e-02   1.30e-08  b'Ra9.333e+03_'
 9.550e+03      1.446      1.477  -8.88e-02   9.61e-09  b'Ra9.550e+03_'
 9.772e+03      1.459      1.491  -8.75e-02   7.33e-09  b'Ra9.772e+03_'
 1.000e+04      1.472      1.504  -8.62e-02   1.37e-08  b'Ra1.000e+04_'
 1.023e+04      1.485      1.517  -8.49e-02   5.78e-09  b'Ra1.023e+04_'
 1.047e+04      1.498      1.531  -8.37e-02   5.72e-09  b'Ra1.047e+04_'
 1.072e+04      1.511      1.544  -8.24e-02   3.63e-08  b'Ra1.072e+04_'
 1.096e+04      1.523      1.557  -8.12e-02   6.73e-09  b'Ra1.096e+04_'
 1.122e+04      1.535      1.570  -7.99e-02   3.85e-08  b'Ra1.122e+04_'
 1.148e+04      1.548      1.582  -7.87e-02   1.14e-08  b'Ra1.148e+04_'
 1.175e+04      1.560      1.595  -7.75e-02   1.06e-08  b'Ra1.175e+04_'
 1.202e+04      1.572      1.607  -7.63e-02   3.21e-08  b'Ra1.202e+04_'
 1.230e+04      1.584      1.619  -7.51e-02   2.76e-08  b'Ra1.230e+04_'
 1.259e+04      1.596      1.631  -7.39e-02   2.35e-08  b'Ra1.259e+04_'
 1.288e+04      1.607      1.643  -7.27e-02   3.95e-08  b'Ra1.288e+04_'
 1.318e+04      1.619      1.655  -7.15e-02   1.89e-08  b'Ra1.318e+04_'
 1.349e+04      1.631      1.667  -7.03e-02   3.44e-08  b'Ra1.349e+04_'
 1.380e+04      1.642      1.679  -6.92e-02   2.50e-08  b'Ra1.380e+04_'
 1.413e+04      1.654      1.690  -6.80e-02   9.12e-09  b'Ra1.413e+04_'
 1.445e+04      1.665      1.702  -6.68e-02   1.45e-08  b'Ra1.445e+04_'
 1.479e+04      1.676      1.713  -6.57e-02   1.92e-08  b'Ra1.479e+04_'
 1.514e+04      1.688      1.725  -6.45e-02   1.49e-08  b'Ra1.514e+04_'
 1.549e+04      1.699      1.736  -6.34e-02   3.51e-08  b'Ra1.549e+04_'
 1.585e+04      1.710      1.747  -6.22e-02   1.00e-08  b'Ra1.585e+04_'
 1.622e+04      1.721      1.758  -6.11e-02   1.80e-08  b'Ra1.622e+04_'
 1.660e+04      1.732      1.769  -6.00e-02   7.85e-08  b'Ra1.660e+04_'
 1.698e+04      1.742      1.780  -5.89e-02   1.87e-08  b'Ra1.698e+04_'
 1.738e+04      1.753      1.791  -5.78e-02   5.42e-08  b'Ra1.738e+04_'
 1.778e+04      1.764      1.801  -5.67e-02   2.71e-08  b'Ra1.778e+04_'
 1.820e+04      1.775      1.812  -5.55e-02   1.13e-08  b'Ra1.820e+04_'
 1.862e+04      1.785      1.823  -5.45e-02   1.94e-08  b'Ra1.862e+04_'
 1.905e+04      1.796      1.833  -5.34e-02   3.17e-08  b'Ra1.905e+04_'
 1.950e+04      1.807      1.844  -5.23e-02   4.30e-08  b'Ra1.950e+04_'
 1.995e+04      1.817      1.854  -5.12e-02   7.10e-08  b'Ra1.995e+04_'
 2.042e+04      1.828      1.865  -5.01e-02   1.69e-08  b'Ra2.042e+04_'
 2.089e+04      1.839      1.875  -4.91e-02   2.19e-08  b'Ra2.089e+04_'
 2.138e+04      1.849      1.886  -4.80e-02   3.89e-08  b'Ra2.138e+04_'
 2.188e+04      1.860      1.896  -4.70e-02   1.67e-08  b'Ra2.188e+04_'
 2.239e+04      1.870      1.907  -4.59e-02   1.79e-08  b'Ra2.239e+04_'
 2.291e+04      1.881      1.917  -4.49e-02   3.37e-08  b'Ra2.291e+04_'
 2.344e+04      1.891      1.927  -4.38e-02   4.46e-08  b'Ra2.344e+04_'
 2.399e+04      1.902      1.937  -4.28e-02   2.52e-08  b'Ra2.399e+04_'
 2.455e+04      1.912      1.948  -4.18e-02   2.11e-08  b'Ra2.455e+04_'
 2.512e+04      1.923      1.958  -4.08e-02   1.21e-08  b'Ra2.512e+04_'
