# Ra  1-roll   2-roll(h)   2-roll(v)  4-roll
1.584893192461114040e+03 -6.408072301427459871e-01 -4.497068930703360667e-01 -1.664276518154743867e+00 -1.210832477517914896e+00
1.715863589425323198e+03 -5.902943516992010808e-01 -4.280748544304584513e-01 -1.582512142576061098e+00 -1.161284210122805360e+00
1.857656952228844602e+03 -5.416470621878816116e-01 -4.070333485008389429e-01 -1.503829983341767429e+00 -1.113543431527359129e+00
2.011167655419465973e+03 -4.947851204406943371e-01 -3.865367392405041902e-01 -1.428113677155043781e+00 -1.067532006861579008e+00
2.177363981736469668e+03 -4.496305876299724891e-01 -3.665383137319751516e-01 -1.355251149920916776e+00 -1.023174201513456838e+00
2.357294229642179289e+03 -4.061076348539194858e-01 -3.469899096249373649e-01 -1.285134472524950278e+00 -9.803965423303612203e-01
2.552093325559963432e+03 -3.641423412545635174e-01 -3.278415048610814897e-01 -1.217659729195796903e+00 -9.391276902687325512e-01
2.762989982526011772e+03 -3.236624798636015266e-01 -3.090407727583586728e-01 -1.152726899615009515e+00 -8.992983299683812159e-01
2.991314450408694029e+03 -2.845972878481100032e-01 -2.905326115935918940e-01 -1.090239756527866533e+00 -8.608410845669196565e-01
3.238506906580729719e+03 -2.468772172205965509e-01 -2.722586675819959612e-01 -1.030105781400167286e+00 -8.236904682120534948e-01
3.506126539969131045e+03 -2.104336613933881772e-01 -2.541568852097039755e-01 -9.722361017372560532e-01 -7.877828947518268343e-01
3.795861385781318404e+03 -1.751986522230020160e-01 -2.361611411499585644e-01 -9.165454551412289819e-01 -7.530567698049933645e-01
4.109538972940927124e+03 -1.411045214721106389e-01 -2.182010494156829128e-01 -8.629521871871591587e-01 -7.194527059820742254e-01
4.449137851392900302e+03 -1.080835200462151452e-01 -2.002020671304231836e-01 -8.113782929623617468e-01 -6.869139190172554033e-01
4.816800071987440788e+03 -7.606738819263965390e-02 -1.820860811747909702e-01 -7.617495159325563536e-01 -6.553868880879550884e-01
5.214844697660791098e+03 -4.498687053512272910e-02 -1.637727099518847540e-01 -7.139955230752323967e-01 -6.248223993498777107e-01
5.645782431135913612e+03 -1.477117216165919206e-02 -1.451815974115823193e-01 -6.680501824775310071e-01 -5.951771409781656530e-01
6.112331451408502289e+03 1.465264264365719916e-02 -1.262359833946680998e-01 -6.238519794804265883e-01 -5.664160843822236835e-01
6.617434558908556937e+03 4.336029674297770670e-02 -1.068677717004299782e-01 -5.813446206689466544e-01 -5.385159730355111307e-01
7.164277737482051634e+03 7.143095956824545290e-02 -8.702415483006291363e-02 -5.404778921336889086e-01 -5.114703492676859753e-01
7.756310250274173995e+03 9.894785312042705949e-02 -6.667559129693176323e-02 -5.012088594081725024e-01 -4.852966786636778718e-01
8.397266396270679252e+03 1.259986801770995868e-01 -4.582462892664419113e-02 -4.635035195680610731e-01 -4.600462738277787400e-01
9.091189064728845551e+03 1.526756574620434792e-01 -2.451486089019496925e-02 -4.273390355845086419e-01 -4.358178591169324934e-01
9.842455236069552484e+03 1.790747949342916812e-01 -2.839351864167289317e-03 -3.927066858817025996e-01 -4.127757346826569362e-01
1.065580359007992229e+04 2.052938610878359826e-01 1.905175096972883467e-02 -3.596156209327560083e-01 -3.911735764787395708e-01
1.153636439556754704e+04 2.314282177866760215e-01 4.094415545000451573e-02 -3.280973841571892535e-01 -3.713849759379801441e-01
1.248969186999819976e+04 2.575634439978715662e-01 6.255231826746789070e-02 -2.982108481608802819e-01 -3.539420636931918662e-01
1.352179921322817790e+04 2.837635331755798962e-01 8.351211358099715210e-02 -2.700466407979066341e-01 -3.395847049367527459e-01
1.463919653631010806e+04 3.100537321668331292e-01 1.033745982293886034e-01 -2.437292209792232267e-01 -3.293274789973684724e-01
1.584893192461114086e+04 3.363982566659677320e-01 1.216046877294847950e-01 -2.194136124835512902e-01 -3.245704355089829019e-01
